,released_year,released_month,released_day,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
312,2023,3,29,100,72,42,66,18,4,19,4
313,2023,3,14,142,70,76,79,26,0,11,7
314,2022,10,21,140,64,18,37,72,0,12,7
315,2023,2,10,116,90,96,73,62,0,9,4
316,2022,5,13,120,73,64,85,25,0,61,3
317,2022,4,1,92,76,46,79,31,0,7,6
318,2022,10,26,110,81,64,79,5,0,31,3
319,2022,1,21,120,71,57,97,1,0,13,11
320,1995,7,11,80,63,40,61,9,0,56,6
321,2022,11,13,115,95,43,69,47,0,9,31
322,2014,11,28,76,58,46,67,65,0,13,4
323,2017,2,20,172,60,77,78,45,0,12,6
324,2016,9,9,99,40,45,56,69,0,9,5
325,2015,5,27,136,36,12,57,9,0,14,8
326,2019,5,10,150,90,64,14,67,35,11,10
327,2023,4,7,92,71,41,31,79,0,10,5
328,2022,12,15,95,77,72,87,17,0,7,5
329,2022,7,25,102,83,58,83,21,0,10,5
330,2022,12,9,145,70,34,55,43,0,16,6
331,2003,3,24,110,50,24,86,0,0,64,4
332,2023,2,24,95,64,30,77,46,0,38,6
333,2023,3,3,94,68,81,82,53,0,9,13
334,2022,12,2,142,61,92,91,0,0,26,3
335,2022,8,5,145,59,20,74,1,0,15,5
336,2023,3,3,121,64,67,80,0,0,36,3
337,2023,3,3,140,66,43,76,49,0,12,3
338,2023,2,23,137,84,44,67,8,0,11,6
339,2023,1,31,104,56,72,85,0,0,15,3
340,2023,2,17,92,57,68,76,7,0,33,3
341,2022,12,15,146,74,51,45,86,0,21,38
342,2023,1,23,120,56,20,43,89,0,12,4
343,2023,1,31,144,68,83,81,9,0,8,4
344,2022,11,5,94,59,44,56,80,0,6,3
345,2022,10,31,94,73,65,79,5,2,11,6
346,2022,12,15,113,79,66,74,8,0,11,5
347,2023,3,3,148,50,49,76,12,0,12,3
348,2023,3,3,98,70,29,73,12,0,11,26
349,2022,5,31,140,58,26,38,91,0,10,4
350,2022,12,9,100,36,28,28,81,0,18,3
351,2023,2,23,140,86,68,79,39,0,11,29
352,2022,8,1,100,59,78,94,27,0,29,23
353,2011,1,1,100,59,49,65,2,0,13,3
354,2022,10,19,132,87,82,70,42,0,21,5
355,2023,3,3,142,49,48,67,10,0,26,3
356,2023,1,20,176,72,96,63,25,0,21,7
357,2022,5,6,140,53,51,70,49,0,14,3
358,2000,10,24,105,55,40,90,1,0,32,6
359,2022,12,8,135,81,97,77,75,0,35,3
360,2022,7,28,128,82,61,59,30,0,12,4
361,2022,6,3,101,74,43,69,12,0,12,7
362,2022,5,6,122,88,43,50,7,0,14,5
363,2022,9,8,105,76,49,56,80,12,10,13
364,2022,12,23,83,53,40,36,73,0,11,33
365,2021,9,3,77,72,59,76,24,0,42,28
366,2017,8,25,140,75,18,25,78,0,11,26
367,2022,11,3,158,65,72,95,31,0,92,5
368,2019,6,28,176,75,43,65,15,0,11,32
369,2022,10,20,98,73,88,57,56,0,5,2
370,2023,1,27,107,66,47,40,72,0,11,3
371,2020,2,19,109,66,16,57,10,1,12,3
372,2022,7,15,109,84,72,74,10,0,34,7
373,2023,3,3,148,53,61,81,5,0,36,4
374,2020,5,20,158,60,52,76,17,0,19,5
375,2022,9,29,94,74,64,73,6,0,10,6
376,2022,10,12,96,70,40,51,35,0,10,4
377,2022,5,6,100,80,29,67,29,0,12,3
378,2021,9,24,105,58,42,68,1,0,14,4
379,2023,3,3,125,53,32,66,38,0,9,3
380,2023,1,27,170,56,56,63,13,0,19,27
381,2023,1,27,115,70,84,90,17,0,41,6
382,2023,1,27,122,64,25,89,0,0,15,9
383,2022,10,17,105,88,82,80,8,0,11,8
384,2022,11,30,133,66,74,84,25,0,21,4
385,2023,1,13,100,79,60,68,7,0,26,4
386,2022,10,28,120,82,55,45,15,3,9,10
387,2022,10,28,177,25,17,30,90,0,13,3
388,2022,9,22,142,64,31,72,15,0,9,5
389,2016,11,4,144,57,47,84,1,1,52,4
390,2019,4,12,120,65,80,86,9,0,19,10
391,2016,9,27,135,92,73,51,55,0,15,6
392,2022,2,9,107,81,82,78,38,0,12,4
393,2022,12,22,105,82,62,74,10,0,33,7
394,2022,11,25,108,44,38,77,9,0,9,20
